m,bt_time,ilp_time
3,0.0004001617431640625,0.020020055770874023
4,0.00040044784545898435,0.019864749908447266
6,0.00018587112426757813,0.019096851348876953
7,0.0017858982086181641,0.019527721405029296
8,0.0011806488037109375,0.02048015594482422
9,0.0020012855529785156,0.020593690872192382
10,0.004176712036132813,0.020879745483398438
11,0.0020235061645507814,0.022954463958740234
12,0.0005380630493164063,0.021207094192504883
13,0.002391195297241211,0.020479345321655275
14,0.0048771858215332035,0.023942184448242188
15,0.005800819396972657,0.026105165481567383
16,0.0030707359313964845,0.023214435577392577
17,0.0021893978118896484,0.021327114105224608
18,0.0005034446716308594,0.021109580993652344
19,0.028365135192871094,0.023644065856933592
20,0.007236480712890625,0.0229367733001709
21,0.0022840023040771483,0.021789741516113282
22,0.007088279724121094,0.022432804107666016
23,0.03626527786254883,0.02590651512145996
24,0.005975198745727539,0.023171234130859374
25,0.004073333740234375,0.02282710075378418
26,0.01029376983642578,0.025798749923706055
27,0.04897918701171875,0.024517583847045898
28,0.03636574745178223,0.02343902587890625
29,0.0507206916809082,0.02566366195678711
30,0.029324436187744142,0.023939228057861327
31,0.007964706420898438,0.022832870483398438
32,0.07652158737182617,0.024465274810791016
33,0.03776869773864746,0.02443704605102539
34,0.049071550369262695,0.03255782127380371
35,0.04001708030700683,0.022547197341918946
36,0.08771486282348633,0.025262069702148438
37,0.11286463737487792,0.024723148345947264
38,0.4507297515869141,0.022504234313964845
39,0.050100517272949216,0.03965206146240234
40,0.030888938903808595,0.023371505737304687
41,0.04674253463745117,0.025011348724365234
42,0.0052794933319091795,0.02483401298522949
43,0.04601449966430664,0.02542533874511719
44,0.41886286735534667,0.023703622817993163
45,0.06460113525390625,0.03895392417907715
46,0.33101744651794435,0.027094078063964844
47,0.15154109001159669,0.028317642211914063
48,0.2279665470123291,0.025211143493652343
49,0.04672493934631348,0.026924610137939453
50,0.33318700790405276,0.027555227279663086
51,0.04711589813232422,0.025869464874267577
52,0.05324840545654297,0.02441744804382324
53,0.19444608688354492,0.025501108169555663
54,0.19507622718811035,0.02494845390319824
55,0.25002636909484866,0.02501082420349121
56,0.0280703067779541,0.024520206451416015
57,0.07250413894653321,0.024095821380615234
58,0.28078503608703614,0.024538278579711914
59,0.06388864517211915,0.024370145797729493
60,0.3647876262664795,0.02499227523803711
61,0.07905416488647461,0.024340009689331053
62,0.13488526344299318,0.027222537994384767
63,0.19751381874084473,0.023906135559082033
64,0.2543326377868652,0.024199676513671876
65,0.16385846138000487,0.02389240264892578
66,0.24253482818603517,0.02647233009338379
67,0.3089599609375,0.025371694564819337
68,0.23596277236938476,0.02730412483215332
69,0.15452847480773926,0.026238489151000976
70,0.3349620819091797,0.028099775314331055
71,0.06779403686523437,0.025490808486938476
72,0.049541044235229495,0.025483369827270508
73,0.02869701385498047,0.024328231811523438
74,0.2752945899963379,0.024663257598876952
75,0.33824896812438965,0.0356635570526123
76,1.3954415798187256,0.02792353630065918
77,1.3069187641143798,0.025082492828369142
78,1.4252808094024658,0.026128530502319336
79,4.136325120925903,0.04073677062988281
80,0.36812963485717776,0.02616891860961914
81,0.4998944759368896,0.02687859535217285
82,0.15947694778442384,0.0258206844329834
83,0.2571894645690918,0.02645883560180664
84,0.3714400291442871,0.02690610885620117
85,1.1048250675201416,0.0299072265625
86,1.8964741706848145,0.025948381423950194
87,0.34983162879943847,0.03497400283813477
88,1.5596056938171388,0.026917791366577147
89,0.778863000869751,0.02673478126525879
90,0.5906466484069824,0.025797080993652344
91,1.5512872695922852,0.02934856414794922
92,1.1702361106872559,0.027433252334594725
93,1.0520323276519776,0.03745856285095215
94,0.26281375885009767,0.026681184768676758
95,0.2655900001525879,0.027724313735961913
96,1.0935582637786865,0.027400445938110352
97,1.2915817737579345,0.030289936065673827
98,1.1890499114990234,0.031804370880126956
99,0.7167936801910401,0.029201650619506837
100,0.41242070198059083,0.028491973876953125
101,1.0327680587768555,0.0510190486907959
102,1.4063669204711915,0.042743778228759764
103,2.4804065227508545,0.033531570434570314
104,0.4134556293487549,0.03326148986816406
105,0.6407036781311035,0.03364548683166504
106,3.3564481258392336,0.03268599510192871
107,0.7538925647735596,0.04081892967224121
108,1.4742880821228028,0.03463678359985352
109,1.0871691703796387,0.04151201248168945
110,0.8001447677612304,0.03566288948059082
111,2.671015977859497,0.034426116943359376
112,2.105290651321411,0.03415369987487793
113,3.2717895984649656,0.03544406890869141
114,1.965892457962036,0.07405972480773926
115,11.204714298248291,0.05022196769714356
116,3.315212774276733,0.03560981750488281
117,0.5628093242645263,0.03542418479919433
118,0.16081571578979492,0.03840203285217285
119,1.0347262382507325,0.03726801872253418
120,2.0553396701812745,0.0373077392578125
121,0.37600040435791016,0.036004257202148435
122,1.2313996791839599,0.03459234237670898
123,2.3376215934753417,0.038938379287719725
124,5.120692205429077,0.0353482723236084
125,3.529958391189575,0.03598904609680176
126,4.937113857269287,0.03707571029663086
127,1.34838924407959,0.03523097038269043
128,7.1974489212036135,0.035860204696655275
129,2.4429838180541994,0.04164867401123047
130,0.17573928833007812,0.03733491897583008
131,2.805350923538208,0.03703141212463379
132,3.4421908855438232,0.04549751281738281
133,3.0612682819366457,0.03959507942199707
134,7.56516842842102,0.07067685127258301
135,0.07374429702758789,0.03484654426574707
136,6.894931936264038,0.037688922882080075
137,0.82064847946167,0.035915565490722653
138,1.9683500289916993,0.040689849853515626
139,6.196197557449341,0.04880414009094238
140,6.294920349121094,0.09784960746765137
141,30.874027299880982,0.10029926300048828
142,0.9469671249389648,0.035041427612304686
143,2.9209989070892335,0.035708284378051756
144,0.595404052734375,0.03955574035644531
145,1.1622520446777345,0.038159513473510744
146,0.9711903095245361,0.035965251922607425
147,0.7917624473571777,0.03485121726989746
148,3.374934196472168,0.039255714416503905
149,0.3659621238708496,0.03569035530090332
150,5.575148868560791,0.035045528411865236
151,1.8990675926208496,0.039939355850219724
152,1.0480246543884277,0.05255889892578125
153,4.499833059310913,0.03741774559020996
154,13.861737394332886,0.061911725997924806
155,2.007666826248169,0.03836832046508789
156,6.229650211334229,0.04084467887878418
157,8.717607593536377,0.11066641807556152
158,1.3250160694122315,0.046148252487182614
159,8.480799436569214,0.038001060485839844
160,7.634515810012817,0.041948795318603516
161,14.903573656082154,0.03900036811828613
162,4.815148544311524,0.039400148391723636
163,6.62629919052124,0.03748245239257812
164,0.2755769729614258,0.036293315887451175
165,6.564427709579467,0.03656711578369141
166,9.26099615097046,0.041396808624267575
167,4.566653299331665,0.03768453598022461
168,4.180138778686524,0.03967065811157226
169,0.7524330615997314,0.03983650207519531
170,3.1667755603790284,0.0505730152130127
171,22.162951231002808,0.04282026290893555
172,15.723344993591308,0.037070941925048825
173,16.4065580368042,0.038473320007324216
174,4.947211980819702,0.04119548797607422
175,8.143999671936035,0.03943691253662109
176,2.6914899349212646,0.04041438102722168
177,6.722501134872436,0.03909535408020019
178,7.247825717926025,0.04093503952026367
179,4.675314712524414,0.04295682907104492
180,4.655737781524659,0.040940046310424805
181,21.2957820892334,0.04104776382446289
182,5.740870571136474,0.04242110252380371
183,1.132900094985962,0.03829832077026367
184,15.156845855712891,0.03969240188598633
185,6.853685188293457,0.038873720169067386
186,8.196890115737915,0.04048876762390137
187,11.334487342834473,0.04161357879638672
188,5.189909839630127,0.03999199867248535
189,1.3141095161437988,0.05511221885681152
190,4.076527881622314,0.04173092842102051
191,3.358038139343262,0.04091496467590332
192,8.66913161277771,0.04288301467895508
193,14.560546255111694,0.0434689998626709
194,12.640965270996094,0.04282622337341309
195,16.34547848701477,0.04199728965759277
196,27.368201398849486,0.043222665786743164
197,24.71408805847168,0.04950447082519531
198,11.980547332763672,0.04581613540649414
199,22.609365510940552,0.04603257179260254
