m,bt_time,ilp_time,opt,greed_t,lpc_t,opt_greedy,opt_clp
3,0.00036377906799316405,0.017836284637451173,1,0.0,0.012212443351745605,1,1
4,0.0006946563720703125,0.020105361938476562,1,0.0,0.011884140968322753,1,1
5,0.00040001869201660155,0.014200639724731446,2,0.0,0.012101197242736816,2,2
6,0.001998424530029297,0.02149991989135742,2,0.0,0.02016713619232178,2,3
7,0.0006373405456542968,0.019460105895996095,3,0.0,0.01833333969116211,3,4
8,0.001580524444580078,0.01981964111328125,3,0.0,0.016995501518249512,3,6
9,0.0020323276519775392,0.01976742744445801,3,9.999275207519531e-05,0.020463848114013673,3,5
10,0.0001998424530029297,0.022600507736206053,2,0.00010018348693847656,0.017730402946472167,2,2
11,0.006595182418823242,0.020204639434814452,3,0.00010120868682861328,0.017208027839660644,4,3
12,0.003598451614379883,0.02280106544494629,4,5.6409835815429686e-05,0.01783461570739746,4,6
13,0.0019278526306152344,0.02167201042175293,4,0.0,0.01899869441986084,4,6
14,0.0023977279663085936,0.023602628707885744,3,0.0,0.01792006492614746,3,6
15,0.01241006851196289,0.021206235885620116,3,0.00010013580322265625,0.018187785148620607,4,3
16,0.010389375686645507,0.021194314956665038,3,0.0,0.017502641677856444,4,3
17,0.00839533805847168,0.026605224609375,2,0.00018568038940429686,0.018707966804504393,2,2
18,0.013730382919311524,0.02766866683959961,4,0.00010015964508056641,0.018305325508117677,4,5
19,0.0030918121337890625,0.025508737564086913,3,0.00014867782592773438,0.017969632148742677,4,9
20,0.016197013854980468,0.021002483367919923,4,4.6133995056152344e-05,0.018805646896362306,4,4
21,0.03479766845703125,0.023862600326538086,4,0.0,0.017718982696533204,4,7
22,0.020239639282226562,0.022359895706176757,5,0.000103759765625,0.019433355331420897,5,7
23,0.022995424270629884,0.02120494842529297,4,0.0,0.01949152946472168,4,4
24,0.0007294178009033203,0.02096872329711914,5,0.00015344619750976563,0.018755078315734863,5,5
25,0.017508411407470705,0.021401309967041017,4,9.10043716430664e-05,0.02528645992279053,4,4
26,0.1389993667602539,0.023600673675537108,4,9.74893569946289e-05,0.01971855163574219,4,11
27,0.020571374893188478,0.025028562545776366,5,0.00010013580322265625,0.018490695953369142,5,7
28,0.013862514495849609,0.023137664794921874,3,0.0,0.020502519607543946,3,4
29,0.029680538177490234,0.02191925048828125,4,0.00032694339752197265,0.02004971504211426,4,10
30,0.009662580490112305,0.022937488555908204,6,0.00011730194091796875,0.01974515914916992,6,10
31,0.05675597190856933,0.024043989181518555,4,4.1961669921875e-05,0.019045472145080566,5,6
32,0.10215468406677246,0.02264556884765625,5,0.0,0.01904456615447998,6,14
33,0.02698655128479004,0.022013235092163085,5,0.0,0.019172930717468263,7,5
34,0.12121515274047852,0.05698480606079102,4,0.00010018348693847656,0.01979959011077881,5,13
35,0.07168412208557129,0.022369003295898436,4,4.6706199645996095e-05,0.01911036968231201,5,4
36,0.07317771911621093,0.022230815887451173,4,0.0001517057418823242,0.018790006637573242,5,4
37,0.10787506103515625,0.023545455932617188,5,0.00027713775634765627,0.019202589988708496,5,12
38,0.08942070007324218,0.021800947189331055,5,0.00017561912536621094,0.019526338577270506,6,8
39,0.3026290416717529,0.028600454330444336,6,0.00011219978332519532,0.01899101734161377,7,8
40,0.031198930740356446,0.024001407623291015,5,0.0,0.021124649047851562,6,13
41,0.05716543197631836,0.0222625732421875,6,9.992122650146485e-05,0.0206392765045166,8,6
42,0.08159971237182617,0.024427270889282225,5,0.00010030269622802734,0.02151505947113037,5,9
43,0.04439735412597656,0.02680215835571289,4,0.0002178668975830078,0.02011878490447998,5,13
44,0.025948762893676758,0.022851181030273438,5,9.999275207519531e-05,0.020388531684875488,7,5
45,0.0989199161529541,0.08137197494506836,4,0.0,0.02061331272125244,5,12
46,0.07736420631408691,0.023802423477172853,6,5.078315734863281e-05,0.019941186904907225,6,8
47,0.08120007514953613,0.02740015983581543,4,0.00010068416595458985,0.023717713356018067,4,6
